,image_name,Mouth_Open,L_Lip_Con_Up,R_Lip_Con_Up,M_Lip_Up
33,3aadf3ef-ba66-4184-bb96-4cf77af5dd49Uo8YTbkTDFshDeFM.png,3.54,9.74,9.74,9.13
34,3bb49d9f-828d-4702-ab56-9c7699f89a01UvowybkTDCaFkTGR.png,8.69,14.66,14.66,7.51
35,3afa7861-1e26-4ddd-8c3c-7c83a99d0dd3VkNWmGxSUGFhh3n1.png,0,-6.92,-6.92,6.36
36,3c264c45-66ae-4f6f-b956-21cbc02f2080UsZ1krwsRGCmauv8.png,28.01,19.57,19.57,14.44
37,3b0b4b97-a14a-4d4f-809f-2c30f03cc7f0UynVc7kTDB-2GRtf.png,3.33,4.75,4.75,4.15
38,3aa31e41-9939-40bd-88cc-fbf86e6acbdeVYVgzBQ1GD85_RFS.png,45.93,38.25,38.25,20.89
39,3bc738f2-47ca-4edf-84df-e8eaa9e28b94VCgF2WSBJ0p5aJw3.png,6.72,9.88,9.88,3.79
40,3a9c7d4b-a7fa-4231-b47b-05e6075783ffVXA8gbieoRgEtcLQ.png,10.6,19.04,19.04,7.97
41,3c3968fd-203d-4396-ae1d-46408eea3d98VsXyXLwsRFYYSgN-.png,0,3.12,3.12,14.15
42,3acd4ff9-c9d5-46a1-b6b2-de5807ef327fV34MAmxSUI3SiGg5.png,9.62,7.0,7.0,7.04
43,3ba99b6d-bf8f-4e9f-9ce2-ed7a009c3d01WdcoxkKdkg_mmevu.png,18.98,28.67,28.67,5.95
44,3ac34b48-ff35-4f2f-872f-ae2f33ac630fU_t4wtaQwRU9TOCv.png,6.28,-1.63,-1.63,4.07
45,3c248124-49ba-4d41-8ab4-0300ded230eeU0PL0taQwRI4Bmnh.png,7.39,-1.91,-1.91,3.94
46,3c24725f-24f1-4982-82dc-3234fad4cef7VNzNA7wsRGAwLqhj.png,25.52,45.28,45.28,7.15
47,3a9d0806-d49d-4542-9ba6-aa25f8f387c1Vi8CAmxSUEr2GssU.png,10.58,2.77,2.77,6.29
48,3c1bbe47-1234-4b5c-bd04-71d9c5abac5dVOQQgLwsRD5S6LND.png,0,28.34,28.34,6.32
49,3c2efbc7-8562-40a0-a400-b30ac12c0d78WTaUGWEz4T0Qw4e1.png,20.78,25.85,25.85,10.57
50,3abdb7a6-1329-4072-8b5d-03ecda0c70bfUxL07rkTDHfDM27G.png,15.89,24.67,24.67,4.18
51,3ac55316-a54f-4118-8a83-261bce3830d0U-rx-rwsRARTS_KA.png,27.83,40.19,40.19,13.59
52,3c240fc2-0df6-40bb-aa42-4e8a58e24eb5VeLpzwTnb1HAIjlt.png,6.82,1.34,1.34,10.28
53,3ad8b4e5-5fbc-4597-9e3b-1cfb1f00386eVjo0RuX1BlZcET7j.png,6.8,-1.75,-1.75,4.41
54,3ba8cecd-935e-4a83-b025-5045bc1c5bb9VRfoaBQ1GBtRpRbn.png,0,3.1,3.1,3.57
55,3c03c810-0acb-4f58-a7b2-93a429f5c4e9WUdVgjELxhSc7xVl.png,14.04,2.03,2.03,4.17
56,3aa69b5c-bb00-4321-aec2-7bcee6e988d5WFJOzNFH7DqvB7ks.png,3.47,8.21,8.21,11.89
57,3b9f0495-4aae-4882-be8b-9a60b0a32deaV5o--TELxjx7jlbV.png,11.98,19.59,19.59,6.73
58,3adaa22e-0d6a-46e4-b645-f3d5a3896e33U98w_daQwUFY-zQU.png,4.45,24.3,24.3,5.16
59,3b79e4b5-14b7-4cd0-bf13-8f1f25dd0f4cVMM9ztaQwVSFOYRv.png,0,10.04,10.04,5.28
60,3c3a4489-4881-410f-8bcf-36e5927a0ce8U-hS_mSBJ0ex2DDX.png,27.35,35.21,35.21,14.0
61,3ac53184-4fac-4fc3-be87-8a861bd2389fVtwvLmxSUEvP9j3Z.png,3.46,-2.1,-2.1,11.46
62,3c1bd401-df43-40a6-b6de-6ff10e8fe66aVkavwmSBJzXDfTuN.png,3.25,-6.4,-6.4,6.32
63,3b4f1d82-642f-4ed6-8eda-1a3715bf27d8U70Kn7wsRAJrC6mb.png,3.37,12.44,12.44,8.26
64,3be2ba0d-49e3-477f-b095-1f47ca0adb8dWs3St8dBoQ_6bBVT.png,8.37,21.26,21.26,5.68
65,3ac91554-8000-4c50-8146-6ba50a8bfd5bU8-WVbwsRFdOA378.png,0,11.18,11.18,-1.09
66,3bab1875-75cb-4c6a-9c39-94a355f8f13bWqTu1DxxIV8mY8YK.png,6.55,-1.59,-1.59,3.29
67,3af2cd30-430b-4a5e-81fc-2a7336e89a01Vkbdf4RXrxhWu7m1.png,4.03,6.96,6.96,8.03
68,3b0aa2b7-0140-4aee-b50b-03956aa56204WN6Dz2SBJ_jWw_ZH.png,7.71,31.06,31.06,7.45
69,3ab61923-f486-404c-97b5-b46523fa466bVj6z3VONuG0a4Bc8.png,3.47,-0.04,-0.04,5.68
70,3c3e1290-6031-4195-b2f6-2e4839ffbb04VfihtlONuBo7b2SS.png,3.47,-1.38,-1.38,4.15
71,3a9cee13-dd63-4288-81a1-e880a11a04c0VddHW4RXr2zDgCfP.png,7.75,26.81,26.81,5.86
72,3b207661-7013-42a8-a071-d5462c3c9188U58Y9bkTDBgADXYh.png,27.33,38.73,38.73,14.35
73,3c346e72-6ec5-467e-84e0-7e10efb4b57bVB035NaQwQt8CQS0.png,0,15.92,15.92,10.93
74,3b29f9de-3211-483f-ac3e-e2cc29951743VjBa_YRXr2ZgHhSm.png,22.6,29.26,29.26,6.54
75,3aea9dc1-c920-462a-a0ca-00f344824f15VHtTyLkTDCGId4RS.png,3.25,-4.1,-4.1,4.16
76,3c23d8cb-c636-4970-b0bf-ccb827ea19c7WTfZIO758TecHvl7.png,3.51,-1.69,-1.69,4.68
77,3c13057d-9a33-4ed2-b954-fb510eed7527UzZgxLkTDDJ2nwTz.png,15.76,14.08,14.08,5.94
78,3c251e24-e0af-471c-a514-28f12263b061VSAYQBQ1GFFiRC5z.png,3.47,0.89,0.89,5.09
79,3ba2287b-88ab-4cb9-86aa-240f99a94a44UhdrN7wsRDuKNDvy.png,7.91,23.68,23.68,5.38
80,3ab06171-a948-43ff-ace5-2701782081ddU9sT5mSBJ3ksSn4h.png,0,1.19,1.19,6.19
81,3aed9b08-b0d6-4372-8ada-efcdc5a4b992VHRYrdaQwV3w8WWE.png,6.8,21.72,21.72,3.41
82,3b463949-4e58-47a4-aacb-bdf2f43a768bU8ZUwdaQwX7n49_W.png,18.45,-6.62,-6.62,4.14
83,3bf4babb-5b12-4d2c-8ae1-db8a6d0d216cVUGCLO1NjmMGmtGI.png,0,14.76,14.76,6.4
84,3bcc8da3-a43b-4728-83ee-72ccc120f2f1V87GStFH7HZH1QI7.png,3.47,6.36,6.36,8.65
85,3bbd0552-ca20-4a0b-ad3a-d61d236d2ee0VvZuQlYy0DqJPBNi.png,0,11.23,11.23,9.66
86,3a9ebf97-444b-4cc1-901f-3f29ffacfe29V1zuQ2xSUDhfLhh7.png,6.98,0.65,0.65,3.95
87,3c09a4d3-bd4e-44b2-bd2b-910d2d79b4caXCUMYM84dBMRpdKc.png,0,19.8,19.8,-5.39
88,3b107ccb-8cb7-4057-a14e-28423adca35fV5V8-GSBJ45Pcm6s.png,9.59,10.24,10.24,10.82
89,3ba48e23-0848-4d8f-892a-c74653d71713VhEv_07sU29u8G9a.png,9.39,18.22,18.22,13.17
90,3c0a8f39-f25b-4a9f-a4ae-98bb5412d0d1WiJ3f1PZaQvWUgAi.png,7.61,10.19,10.19,1.98
91,3bb10bf2-67bd-43bb-a9ae-c4b2142bb6f8Wkd_WXLQ5Q_5MP7t.png,0,-2.45,-2.45,5.38
92,3b54bc90-92b6-42a8-bad8-f2a95062563eU7_wC7wsRE_jT3T6.png,3.57,30.01,30.01,-3.75
94,3c3d5562-ea7f-4182-bab2-073453a96225U_MgTrwsRHZqlYzw.png,20.07,46.84,46.84,-6.84
95,3afc26a6-bbc5-4107-a8f3-5d025aae4099V0UvFbwsRBJnIvdY.png,6.67,2.82,2.82,3.29
96,3bac5652-8139-441e-b0a4-d4586a6e1789WpIfwHFwZRAJRKv_.png,6.75,-0.13,-0.13,6.26
97,3c1f7c2b-8e0a-4841-a93f-2a2e1c7e8539U-3Zd7kTDBgyZeFu.png,10.12,-7.88,-7.88,5.78
98,3c19d4bf-3229-4f83-859c-3646cbd9b635V6SQe7EWpos3xxAK.png,7.13,47.9,47.9,-1.04
99,3b72b2e2-0c83-41a8-845c-1ef874c8ecfbUSUj4FYzZWfT-5-L.png,29.07,40.83,40.83,13.92
100,3bc7c1ae-65ae-419c-b48b-24bbcb7ab843XMx7nP7_p1Gkr3PO.png,6.7,7.29,7.29,2.32
101,3b09297d-571f-4570-bb53-ead3fe8cb41bVBCHFtaQwVcLjAey.png,30.59,57.5,57.5,18.3
102,3be515c3-45fd-4d2c-81dd-c819eaeaeb6bU9CYWLwsRFdIMjEb.png,22.73,47.72,47.72,12.64
103,3b221f4a-f2ff-44c5-ba14-2cae351e2fabWaRBM9SP3hBLAEAm.png,14.98,-0.73,-0.73,8.86
104,3be40083-f584-43ea-bc07-7331caa0d255VCqzfmSBJzPYfjGa.png,3.94,28.99,28.99,6.63
105,3b848c3a-b03f-4766-9ba2-17c9b116c2c8VK9wXbkTDHach41f.png,6.54,25.45,25.45,7.88
106,3b359ca4-666f-40f2-839b-b863646e9631WJ81_3Z3SlPmYOsP.png,27.85,47.09,47.09,12.95
107,3ba38d93-1b48-432a-8857-221a1517c49bVDE1NGSBJyPLBRkc.png,6.62,2.67,2.67,3.36
108,3abf3632-bd07-4e3f-bc82-46cc0e1f8317Vy9loLwsRBSjeeUu.png,32.03,41.36,41.36,19.83
109,3abd09bb-8f2c-46ed-9631-37d76c62a40cWihUyT_lmktLyRf5.png,3.46,10.39,10.39,7.33
110,3b17e039-c47c-4ee3-a6e7-da605f2f401fXAofpnQE0UkqDCoK.png,8.17,4.35,4.35,3.93
111,3b0062d4-7e25-47a8-9ea7-d7d853a44facVOroprwsRExXJugt.png,6.59,14.86,14.86,5.25
112,3c1e3d13-f5be-445e-837f-88002848822eWRAID9FH7GGvykJS.png,0,5.62,5.62,6.12
